Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200,Description
NEWR,"New Relic, Inc.",Technology,Software - Infrastructure,USA,5350000000.0,,76.5,0.18460000000000001,3866484.0,"['Top Gainers', 'Unusual Volume']",2,-,-3.57,0.30%,68.34M,18.53%,112.50,0.68,-78.18%,55.11M,37.44%,-215.20M,-,0.15,85.80%,3.08% / 3.35,50.83%,852.70M,6.27,-22.90%,-1.32%,1.70M,13.25%,6.90,11.09,254.17%,-15.90%,65.17,-28.77%,11.93,6.41,15.00%,-66.60%,41.66,109.86,35.52%,-,172.98,-26.80%,-27.90%,-30.37%,0.94,-,1.10,24.40%,69.30%,83.63%,3.30,2217,1.10,15.90%,-24.50%,78.75,4.40%,3.75%,Yes,1.54,-19.50%,-25.20%,7.63,64.58,Yes,0.00,Feb 07 AMC,-,506.97K,2.50,27.31%,31.85%,34.82%,"New Relic, Inc., a software-as-a-service company, delivers a software platform for customers to collect telemetry data and derive insights from that data in a unified front-end application. It offers a suite of products on its open and extensible cloud-based platform, which enables users to collect, store, and analyze telemetry data. The company's platform also provides New Relic Instant Observability, an open-source ecosystem of quickstarts that delivers pre-built integrations, dashboards, and alerts for approximately 450 technologies and frameworks; and supports custom app development through common open-source frameworks, a library of existing applications, and a development environment. It sells its products through direct sales organizations, and online and offline sales in the United States and internationally. New Relic, Inc. was founded in 2007 and is headquartered in San Francisco, California."
MARK,"Remark Holdings, Inc.",Communication Services,Internet Content & Information,USA,18210000.0,,2.11,0.1788,2700985.0,"['Top Gainers', 'Most Volatile']",2,-,-0.81,10.65%,105.29M,68.80%,-,-,0.00%,10.01M,74.38%,-85.10M,-,-,9.80%,12.58% / 1.48,-33.94%,16.40M,1.11,268.90%,-,1.26M,-53.11%,-0.14,-,-,-197.20%,-,-78.46%,0.05,45.52,-,-,1.00,9.89,91.82%,-,-,16.80%,-22.90%,-78.67%,2.94,-,0.40,-23.10%,13.40%,111.00%,0.28,74,0.50,133.30%,-97.40%,65.40,27.84%,18.25%,Yes,-,-111.70%,-,3.17,1.79,Yes,-,Nov 14 AMC,-,853.25K,-,47.22%,32.61%,-38.05%,"Remark Holdings, Inc. primarily focuses on the development and deployment of artificial intelligence-based solutions for businesses and software developers. It operates a data and AI software platform under the Remark AI name in the United States and the KanKan AI name in the Asia Pacific region that offers AI-based computer vision products, computing devices, and software-as-a-service solutions for the retail, urban life cycle, workplace and food safety, railway safety, and biosafety industries. The company also provides Thermal kits, which includes a thermal imaging camera, calibrating device, computer to monitor the video feed, supporting equipment, and AI software to scan crowds and areas of high foot traffic for indications that certain persons with elevated temperatures may require secondary screening; and rPad thermal imaging devices, a single-post stand to scan individuals on a one-by-one basis for authorized entry. In addition, it owns and operates Sharecare, a web-based platform that facilitates search for health and wellness information; and Bikini.com, an e-commerce website that sells swimwear and accessories in the latest styles, as well as offers advertising services. The company was formerly known as Remark Media, Inc. and changed its name to Remark Holdings, Inc. in April 2017. Remark Holdings, Inc. was incorporated in 2006 and is headquartered in Las Vegas, Nevada."
COEP,"Coeptis Therapeutics, Inc.",Healthcare,Biotechnology,USA,31970000.0,13.92,1.64,0.16449999999999998,711511.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,0.12,51.42%,5.12M,-0.48%,-,-0.13,0.00%,5.07M,-10.28%,1.50M,-,-0.04,55.10%,1.82% / 1.22,-42.59%,0.00M,-,188.10%,-2.27%,0.09M,-83.81%,5.61,0.29,-161.90%,2.70%,6.00,-83.56%,0.00,-,-,2.90%,1.03,21.42,7.23%,-,-,-,-,-92.33%,-,-,0.00,-,-,59.42%,0.22,2,0.00,-,-,47.48,16.51%,10.36%,No,0.01,-113.40%,-,9.41,1.41,Yes,0.00,-,0.00%,75.63K,2.00,-3.62%,-2.66%,-77.61%,"Coeptis Therapeutics Holdings, Inc., a biopharmaceutical company, develops and commercializes generic and branded pharmaceutical products and cell therapy platforms for patients with cancer. Its product portfolio consists of CD38-GEAR-NK, a cell therapy for the treatment of CD38-related cancers, including multiple myeloma, chronic lymphocytic leukemia, and acute myeloid leukemia; SNAP-CAR, a CAR T cell therapy platform co-administered with tagged, tumor-specific antibodies to potentially target different tumor types, including hematological malignancies and solid tumors. and CD38-Diagnostic, an in vitro screening tool to analyze if cancer patients might be appropriate candidates for anti-CD38 mAb therapy. The company has collaboration with Statera BioPharma to develop and commercialize STAT-201 for Crohn's disease; and Vici Health Sciences, LLC to co-develop and share ownership rights to CPT60621 for the treatment of Parkinson's Disease. Coeptis Therapeutics Holdings, Inc. was founded in 2017 and is headquartered in Wexford, Pennsylvania."
MHUA,"Meihua International Medical Technologies Co., Ltd.",Healthcare,Medical Instruments & Supplies,China,535450000.00000006,25.17,19.13,0.1636,33240.0,"['Top Gainers', 'New High', 'Most Volatile']",3,-,0.76,57.86%,22.87M,16.79%,-,-,0.00%,15.21M,95.60%,-,-,-,0.10%,0.25% / 0.80,134.72%,110.51M,4.85,10.00%,211.35%,0.04M,342.82%,6.21,3.08,-,-,-,-,1.22,15.66,-,-,2.60,18.19,131.04%,-,-,-,18.60%,5.16%,-,-,5.40,-,-,635.77%,2.05,622,5.40,18.60%,-,77.52,17.82%,15.45%,No,0.04,-43.70%,-,0.70,16.44,Yes,0.00,Nov 14 BMO,-,47.75K,-,55.28%,80.59%,158.55%,"Meihua International Medical Technologies Co., Ltd. engages in the manufacture, sells, and marketing of medical consumables in the People's Republic of China. It offers class I, II, and III disposable medical devices. The company's products include non-bottled products, such as brushes and ID bracelets; and polyethylene bottled products, such as eye drop and tablet bottles, as well as electronic pumps. It also distributes disposable medical devices sourced from other manufacturers to customers in China. In addition, the company offers COVID-19 products comprising disposable medical masks. It serves hospitals, pharmacies, medical institutions, and medical equipment companies. The company also exports its products to Europe, North America, South America, Asia, Africa, and Oceania. The company was founded in 1991 and is based in Yangzhou, the People's Republic of China. Meihua International Medical Technologies Co., Ltd. operates as a subsidiary of Bright Accomplish Limited."
AKLI,"Akili, Inc.",Healthcare,Health Information Services,USA,156700000.0,,2.18,0.1474,184377.0,"['Top Gainers', 'Most Volatile']",2,-,-0.26,11.90%,84.16M,38.85%,-,-0.75,0.00%,43.79M,92.92%,-8.30M,-,-0.31,36.90%,0.48% / 1.29,7.39%,0.37M,420.10,-,21.96%,0.21M,-78.16%,7.39,0.29,68.20%,-3.30%,4.00,-77.94%,0.00,1566.98,-,-3.50%,0.86,37.58,94.64%,-,-,-,-,-94.20%,-,-,0.10,-,-,154.96%,0.17,143,0.10,-47.10%,-,71.76,12.92%,10.73%,No,0.00,-,-,1.13,1.90,Yes,0.00,Nov 10 AMC,-,163.15K,2.40,41.83%,54.10%,-59.83%,"Akili, Inc., a digital medicine company, develops digital therapeutics for cognitive dysfunction. The company provides EndeavorRx, a computer-based testing for cognitive dysfunction across several neurology and psychiatry indications, including attention-deficit hyperactivity disorder, depressive disorder, autism spectrum disorder, multiple sclerosis, and other neuroinflammatory diseases. It offers selective stimulus management engine design to target neutral system, such as focus, interference processing, and multitasking; body brain trainer for attention, impulsivity, working memory, and goal management; and spatial navigation engine for spatial navigation, memory, and planning and organization. The company is headquartered in Boston, Massachusetts."
SCLX,Scilex Holding Company,Healthcare,Drug Manufacturers - General,USA,1450000000.0,80.0,10.16,0.1441,730849.0,"['Top Gainers', 'Most Volatile']",2,-,0.13,96.20%,13.18M,45.14%,-,-,0.00%,5.30M,73.08%,1.80M,-,-,9.20%,4.49% / 0.97,10.86%,34.38M,42.28,-,-10.49%,0.24M,-1.17%,6.78,1.50,-,1.30%,-,0.99%,0.00,-,-,1.60%,2.87,11.69,154.64%,-,-,-,-,-13.09%,-,-,0.20,-,-,254.01%,1.57,2,0.20,36.70%,-,62.73,20.44%,25.48%,No,0.00,88.10%,-,2.99,8.88,No,0.00,-,0.00%,244.46K,-,23.03%,77.76%,13.13%,"Scilex Holding Company, a biopharmaceutical company, focuses on developing and commercializing non-opioid management products for the treatment of acute and chronic pain. Its commercial product is ZTlido 1.8%, a prescription lidocaine topical product for the relief of neuropathic pain related with post-herpetic neuralgia, which is a form of post-shingles nerve pain. It also offers SP-102, a viscous gel formulation of corticosteroid for epidural injections that is in a Phase III clinical trial to treat lumbosacral radicular pain; SP-103, which is in Phase II clinical trail for the treatment of low back pain; and SP-104, a novel low-dose delayed-release naltrexone hydrochloride formulation that has completed Phase I clinical trial for the treatment of fibromyalgia. The company is headquartered in Palo Alto, California. Scilex Holding Company is a subsidiary of Sorrento Therapeutics, Inc."
DYNT,Dynatronics Corporation,Healthcare,Medical Devices,USA,49770000.0,,2.69,0.135,143863.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,-0.32,21.50%,18.54M,15.06%,-,-0.15,0.00%,14.75M,19.58%,-5.70M,-,-0.15,15.50%,0.19% / 3.25,27.79%,44.10M,1.13,-438.50%,-7.75%,0.03M,-16.06%,0.72,3.74,75.80%,-,13.75,-37.38%,0.04,62.21,-,-,1.50,4.55,37.91%,-,-,27.90%,-29.90%,-40.88%,0.31,-,0.70,4.40%,24.20%,79.33%,0.19,195,1.90,-1.60%,-,74.46,10.91%,7.95%,No,0.17,-316.80%,-,16.82,2.37,Yes,0.14,Feb 09 BMO,-,8.55K,1.70,23.10%,22.85%,-2.29%,"Dynatronics Corporation, a medical device company, designs, manufactures, and sells physical therapy, rehabilitation, orthopedics, pain management, and athletic training products in the United States. The company offers orthopedic soft bracing products include cervical collars, shoulder immobilizers, arm slings, wrist and elbow supports, abdominal and lumbosacral supports, maternity supports, knee immobilizers and supports, ankle walkers and supports, plantar fasciitis splints, and cold therapy products; and therapeutic modality devices comprising electrotherapy, ultrasound, phototherapy, traction, hot and cold therapy, and electrodes. It also offers power and manually operated treatment tables, mat platforms, work tables, parallel bars, training stairs, weight racks, and other related equipment. In addition, the company provides clinical supplies, including exercise bands and tubing, lotions and gels, orthopedic bracings, paper products, and other related supplies. It markets its products under the Dynatron, Dynatron Solaris, Dynaheat, BodyIce, Powermatic, Bird & Cronin, Physician's Choice, Hausmann, PROTEAM, and Mammoth brands. The company sells its products to orthopedists, physical therapists, chiropractors, athletic trainers, sports medicine practitioners, clinics, and hospitals. It also exports its products. Dynatronics Corporation was founded in 1979 and is headquartered in Eagan, Minnesota."
ARMP,"Armata Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,109530000.0,,2.89,0.12890000000000001,14928.0,Top Gainers,1,-,-1.03,73.07%,36.04M,5.09%,-,-1.17,0.00%,9.73M,90.71%,-32.70M,-,-0.28,3.90%,0.39% / 1.74,-3.67%,5.40M,20.28,28.90%,0.54%,0.04M,-29.85%,1.26,2.29,-9.40%,-35.20%,8.00,-43.77%,0.67,4.31,-,-70.30%,0.83,5.79,133.06%,-,-,69.20%,-,-50.09%,1.14,-,4.70,76.70%,-,247.73%,0.31,69,4.70,0.00%,-,56.27,8.14%,13.19%,No,0.00,-9.50%,-,0.68,2.56,Yes,0.00,Nov 09 AMC,-,21.84K,1.50,6.23%,39.23%,-15.84%,"Armata Pharmaceuticals, Inc., a clinical-stage biotechnology company, focuses on the development of targeted bacteriophage therapeutics for antibiotic-resistant infections worldwide. It develops its products using its proprietary bacteriophage-based technology. The company's product candidates include AP-SA02 for the treatment of Staphylococcus aureus bacteremia; AP-PA02 for Pseudomonas aeruginosa; and AP-PA03 for the treatment of pneumonia. It has a partnership agreement with Merck & Co. for developing synthetic bacteriophage candidates to target undisclosed infectious disease agents. The company is headquartered in Marina del Rey, California."
WFRD,Weatherford International plc,Energy,Oil & Gas Equipment & Services,USA,4490000000.0,,64.48,0.1257,1591323.0,"['Top Gainers', 'New High', 'Earnings Before']",3,-,-2.97,0.40%,71.00M,14.53%,24.36,2.65,0.00%,65.52M,26.16%,-207.00M,-,0.66,99.60%,4.20% / 3.71,46.61%,4.09B,1.10,76.60%,1.79%,2.75M,190.19%,6.38,10.11,3885.70%,-4.40%,58.50,99.63%,13.39,4.82,-,-46.30%,16.96,57.92,26.63%,-,37.44,-10.90%,-4.80%,11.33%,-,-,1.70,-8.70%,28.30%,280.19%,2.74,17000,2.20,18.50%,4.00%,76.91,6.50%,4.54%,Yes,5.25,128.70%,-5.10%,2.14,57.28,Yes,5.22,Feb 08 BMO,-,741.97K,2.00,16.47%,29.89%,83.78%,"Weatherford International plc, an energy services company, provides equipment and services for the drilling, evaluation, completion, production, and intervention of oil, geothermal, and natural gas wells worldwide. The company operates in two segments, Western Hemisphere and Eastern Hemisphere. It offers artificial lift systems, including reciprocating rod, progressing cavity pumping, gas, hydraulic, plunger, and hybrid lift systems, as well as related automation and control systems; pressure pumping and reservoir stimulation services, such as acidizing, fracturing, cementing, and coiled-tubing intervention; and drill stem test tools, surface well testing, and multiphase flow measurement services. The company also provides safety, downhole reservoir monitoring, flow control, and multistage fracturing systems, as well as sand-control technologies, and production and isolation packers; liner hangers to suspend a casing string in high-temperature and high-pressure wells; cementing products, including plugs, float and stage equipment, and torque-and-drag reduction technology for zonal isolation; and pre-job planning and installation services. In addition, it offers directional drilling services, and logging and measurement services while drilling; services related to rotary-steerable systems, high-temperature and high-pressure sensors, drilling reamers, and circulation subs; rotating control devices and advanced automated control systems, as well as closed-loop drilling, air drilling, managed-pressure drilling, and underbalanced drilling services; open hole and cased-hole logging services; and intervention and remediation services. Further, the company provides tubular handling, management, and connection services; and re-entry, fishing, wellbore cleaning, and well abandonment services, as well as patented bottom hole, tubularhandling equipment, pressure-control equipment, and drill pipe and collars. The company was incorporated in 1972 and is based in Houston, Texas."
NYT,The New York Times Company,Communication Services,Publishing,USA,6810000000.0,39.89,41.13,0.1204,4302040.0,"['Top Gainers', 'Unusual Volume', 'Overbought', 'Earnings Before', 'Major News']",5,-,1.03,0.20%,166.43M,15.37%,35.43,1.16,-1.92%,161.70M,21.58%,173.00M,-,0.43,93.70%,2.37% / 4.10,21.47%,2.23B,3.05,119.10%,0.80%,3.83M,34.41%,9.26,4.44,7.90%,6.80%,34.36,1.06%,1.77,23.28,-1.40%,11.30%,27.58,47.67,26.71%,0.36,130.30,46.60%,12.80%,-13.72%,1.01,0.88%,1.00,5.90%,48.20%,49.10%,1.12,5000,1.00,7.60%,9.10%,83.87,3.60%,2.45%,Yes,0.00,-32.20%,7.70%,4.61,36.71,Yes,0.00,Feb 08 BMO,32.90%,932.82K,2.70,18.33%,20.19%,26.87%,"The New York Times Company, together with its subsidiaries, provides news and information for readers and viewers across various platforms worldwide. It offers The New York Times (The Times), a daily and Sunday newspaper in the United States, as well as international edition of The Times; and operates the NYTimes.com Website. The company also transmits articles, graphics, and photographs from The Times and other publications to approximately 1,500 newspapers, magazines, and websites; licenses electronic databases to resellers in the business, professional, and library markets; and offers magazine licensing, news digests, book development, and rights and permissions. In addition, it engages in the live events business, which hosts physical and virtual live events to connect audiences with journalists and outside thought leaders; direct-sold website, mobile application, podcast, email, and video advertisements, as well as digital advertising services; operates Wirecutter, a product review and recommendation products; develops mobile applications, including games and cooking products; prints and distributes products for third parties; and offers other products and services. The company was founded in 1851 and is headquartered in New York, New York."
AUTL,Autolus Therapeutics plc,Healthcare,Biotechnology,United Kingdom,377780000.0,,2.23,0.115,3013177.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume']",3,-,-1.85,8.80%,166.13M,7.73%,-,-1.29,0.00%,151.52M,23.89%,-163.60M,-,-0.27,30.20%,0.33% / 0.78,-2.62%,2.70M,139.92,28.50%,-2.86%,0.50M,-32.42%,1.77,1.26,18.40%,-48.60%,8.47,-49.20%,0.96,2.32,-,-68.10%,1.60,5.04,17.37%,-,-,-31.10%,-45.00%,-55.75%,1.58,-,5.50,6.60%,-,39.37%,0.17,324,5.50,903.80%,-,59.78,8.42%,8.35%,Yes,0.00,-0.50%,-,4.72,2.00,Yes,0.00,Nov 03 BMO,-,637.93K,2.00,12.75%,6.29%,-15.61%,"Autolus Therapeutics plc, a clinical-stage biopharmaceutical company, develops T cell therapies for the treatment of cancer. The company's clinical-stage programs include obecabtagene autoleucel (AUTO1), a CD19-targeting programmed T cell investigational therapy that is in Phase 1b/2 clinical trial for the treatment of adult ALL; AUTO1/22, which is in a Phase 1 clinical trial in pediatric patients with relapsed or refractory ALL; AUTO4, a programmed T cell investigational therapy for the treatment of peripheral T-cell lymphoma targeting TRBC1; AUTO6NG, a programmed T cell investigational therapy, which is in preclinical trail targeting GD2 in development for the treatment of neuroblastoma; and AUTO8, a product candidate that is in a Phase I clinical trial for multiple myeloma. It also focuses on developing AUTO5, a hematological product candidate, which is in preclinical development. The company was incorporated in 2014 and is headquartered in London, the United Kingdom."
ONVO,"Organovo Holdings, Inc.",Healthcare,Diagnostics & Research,USA,17600000.0,,1.94,0.1149,236251.0,"['Top Gainers', 'Unusual Volume']",2,-,-1.37,2.30%,8.71M,15.13%,-,-,0.00%,8.63M,31.08%,-11.90M,-,-,17.80%,3.49% / 11.68,25.16%,1.60M,11.00,46.00%,0.50%,0.30M,-38.99%,2.87,0.68,-,-37.70%,-,-39.94%,2.64,0.74,-,-41.90%,1.37,4.67,37.59%,-,-,30.10%,-38.00%,-58.46%,0.98,-,17.50,-18.70%,-,41.61%,0.13,14,17.50,-,-,66.51,9.12%,8.56%,Yes,0.00,5.30%,-,9.17,1.74,Yes,0.00,-,-,25.75K,3.00,17.58%,21.30%,-9.74%,"Organovo Holdings, Inc., a biotechnology company, focuses on developing 3D tissues that recapitulate key aspects of human disease. Its 3D human tissue platform includes its proprietary NovoGen Bioprinters, which are automated devices that enable the fabrication of 3D living tissues comprised mammalian cells; and related technologies for preparing bio-inks and bioprinting multicellular tissues with complex architecture. The company offers ExVive human liver tissue and ExVive human kidney tissue used for predictive preclinical testing of drug compounds. The company was incorporated in 2007 and is headquartered in Solana Beach, California."
SNEX,StoneX Group Inc.,Financial,Capital Markets,USA,1980000000.0,9.97,99.75,0.1134,286354.0,Top Gainers,1,-,10.01,3.50%,19.69M,13.11%,10.84,9.20,-6.82%,17.34M,5.01%,201.00M,0.52,2.13,78.00%,1.08% / 1.68,7.39%,66.04B,0.03,74.70%,0.87%,0.19M,7.50%,54.34,1.84,1.46%,1.00%,113.00,48.24%,55.84,1.79,19.00%,19.70%,65.00,103.00,4.67%,-,-,97.10%,3.30%,-3.16%,0.96,-,-,17.50%,2.90%,53.46%,3.40,3615,-,38.30%,0.40%,64.61,4.91%,3.54%,Yes,4.87,602.50%,0.30%,2.58,89.59,Yes,0.77,Feb 07 AMC,0.00%,110.91K,-,10.91%,6.27%,15.78%,"StoneX Group Inc. operates as a global financial services network that connects companies, organizations, traders, and investors to market ecosystem worldwide. The company operates through Commercial, Institutional, Retail, and Global Payments segments. The Commercial segment provides risk management and hedging, exchange-traded and OTC products execution and clearing, voice brokerage, market intelligence, physical trading, and commodity financing and logistics services. The Institutional segment provides equity trading services to institutional clients; and originates, structures, and places debt instruments in capital markets. Its services cover foreign securities, including unlisted American Depository Receipts, Global Depository Receipts, and foreign ordinary shares. This segment also operates as an institutional dealer in fixed income securities to serve asset managers, commercial bank trust and investment departments, broker-dealers, and insurance companies; engages in asset management business; and offers clearing and execution services in futures exchanges, brokerage foreign exchange services for the financial institutions and professional traders, and OTC products. The Retail segment provides trading services and solutions in the global financial markets, including spot foreign exchange, precious metals trading, and contracts for differences; and wealth management services, as well as offers physical gold and other precious metals in various forms and denominations through Coininvest.com and Silver-to-go.com. The Global Payments segment provides customized payment, technology, and treasury services to banks and commercial businesses, charities, and non-governmental and government organizations; and payments services. The company was formerly known as INTL FCStone Inc. and changed its name to StoneX Group Inc. in July 2020. StoneX Group Inc. was founded in 1924 and is headquartered in New York, New York."
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,USA,47340000000.0,65.47,59.64,0.109,18289681.0,"['Top Gainers', 'Most Active', 'Downgrades', 'Major News']",4,S&P 500,0.91,12.00%,786.20M,12.34%,42.75,1.40,-0.31%,633.43M,20.70%,742.50M,3.12,0.39,67.80%,2.51% / 3.06,24.61%,4.10B,11.55,24.70%,-4.12%,15.90M,14.27%,-0.81,-,21.52%,13.40%,63.97,-2.94%,2.18,27.36,21.00%,-,42.61,71.52,21.99%,-,40.54,81.90%,35.90%,-16.61%,1.17,-,1.00,21.20%,75.20%,39.97%,2.25,12091,1.10,32.60%,20.20%,72.45,3.43%,3.70%,Yes,-,49.10%,18.10%,3.52,53.78,Yes,-,Feb 07 AMC,0.00%,5.19M,2.00,17.05%,16.99%,10.90%,"Fortinet, Inc. provides broad, integrated, and automated cybersecurity solutions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It offers FortiGate hardware and software licenses that provide various security and networking functions, including firewall, intrusion prevention, anti-malware, virtual private network, application control, web filtering, anti-spam, and wide area network acceleration. The company also provides FortiSwitch product family that offers secure switching solutions for connecting customers their end devices; FortiAP product family, which provides secure wireless networking solutions; FortiExtender, a hardware appliance; FortiAnalyzer product family, which offers centralized network logging, analyzing, and reporting solutions; and FortiManager product family that provides central and scalable management solution for its FortiGate products. It offers FortiWeb product family provides web application firewall solutions; FortiMail product family that secure email gateway solutions; FortiSandbox technology that delivers proactive detection and mitigation services; FortiClient that provides endpoint protection with pattern-based anti-malware, behavior-based exploit protection, web-filtering, and an application firewall; FortiToken and FortiAuthenticator product families for multi-factor authentication to safeguard systems, assets, and data; and FortiEDR/XDR, an endpoint protection solution that provides both comprehensive machine-learning anti-malware execution and real-time post-infection protection. It provides security subscription, technical support, professional, and training services. It sells its security solutions to channel partners and directly to various customers in telecommunications, technology, government, financial services, education, retail, manufacturing, and healthcare industries. It has strategic alliance with Linksys. Fortinet, Inc. was incorporated in 2000 and is headquartered in Sunnyvale, California."
VRCA,Verrica Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,266089999.99999997,,6.34,0.1084,508755.0,"['Top Gainers', 'Most Volatile', 'Unusual Volume', 'Overbought']",4,-,-1.02,35.10%,40.30M,27.31%,-,-1.14,0.00%,19.33M,46.08%,-28.10M,-,-0.19,25.10%,2.44% / 3.81,166.39%,9.00M,29.57,24.10%,-9.44%,0.47M,95.08%,1.11,5.71,-17.50%,-42.50%,11.60,-18.61%,0.94,6.74,-,-94.30%,1.77,9.22,130.55%,-,-,-,-41.60%,-31.24%,2.14,-,14.10,-,-,258.19%,0.43,38,14.10,-,-,80.02,11.34%,9.62%,Yes,0.00,100.40%,-,4.10,5.72,Yes,0.00,-,-,124.16K,2.40,33.18%,70.73%,81.63%,"Verrica Pharmaceuticals Inc., a dermatology therapeutics company, develops and commercializes treatments for people with skin diseases in the United States. The company's lead product candidate includes VP-102 for the treatment of molluscum contagiosum; that has completed Phase II clinical trial for the treatment of external genital warts; and which is in Phase II clinical trial for treating common warts. It is also developing cantharidin-based product candidate, VP-103 for treating plantar warts. The company has a license and collaboration agreement with Torii Pharmaceutical Co., Ltd. for the development and commercialization of its product candidates for the treatment of molluscum contagiosum and common warts in Japan, including VP-102; and a license agreement with Lytix Biopharma AS to develop and commercialize LTX-315 for dermatological oncology indications. Verrica Pharmaceuticals Inc. was incorporated in 2013 and is headquartered in West Chester, Pennsylvania."
TIGO,Millicom International Cellular S.A.,Communication Services,Telecom Services,Luxembourg,3340000000.0,2.83,18.69,0.1066,748867.0,"['Top Gainers', 'Unusual Volume']",2,-,6.60,36.00%,170.87M,7.72%,16.51,1.13,0.00%,100.41M,35.53%,649.00M,-,0.27,15.30%,0.20% / 1.00,44.77%,5.59B,0.60,277.80%,-0.51%,0.20M,23.86%,20.70,0.90,93.17%,5.20%,19.91,-14.96%,-,-,-,24.80%,10.22,22.74,47.98%,-,8.39,119.40%,3.50%,-17.82%,1.03,-,1.00,2.70%,73.00%,82.88%,0.67,20687,1.00,38.00%,15.90%,72.70,2.91%,2.67%,Yes,2.23,-206.80%,13.70%,3.67,16.89,Yes,2.15,-,0.00%,203.78K,2.40,18.12%,30.75%,29.87%,"Millicom International Cellular S.A. provides cable and mobile services in Latin America and Africa. The company offers mobile services, including mobile data and voice; short message service; and mobile financial services, such as payments, money transfers, international remittances, savings, real-time loans, and micro-insurance. It also provides cable and other fixed services, including broadband, content, fixed voice, and pay-TV to residential consumers; and fixed, managed services, cloud and security solutions, and value-added services to small, medium, and large businesses, as well as governmental entities. As of December 31, 2021, the company served 44.9 million mobile customers; and 12.7 million cable homes. It markets its products and services under Tigo and Tigo Business brands. The company was founded in 1990 and is headquartered in Luxembourg."
BBAI,"BigBear.ai Holdings, Inc.",Technology,Information Technology Services,USA,476490000.0,,5.44,0.1057,15882296.0,"['Top Gainers', 'Most Volatile', 'Most Active']",3,-,-1.60,97.83%,126.27M,58.60%,-,-0.35,-0.03%,4.27M,615.79%,-211.00M,-,-0.10,2.40%,10.06% / 0.07,394.55%,260.20M,1.83,29.60%,-40.06%,0.43M,98.54%,-0.06,-,56.80%,-76.80%,5.00,4.62%,0.25,21.66,-,-496.20%,0.58,16.12,707.48%,-,-,-,-26.00%,-66.25%,-,-,1.80,-,25.10%,837.93%,0.78,665,1.80,1.10%,-62.00%,69.91,32.02%,25.10%,Yes,-,33.60%,-81.10%,2.76,4.92,Yes,-,Nov 09 AMC,-,5.75M,2.70,93.57%,234.34%,82.69%,"BigBear.ai Holdings, Inc. provides artificial intelligence and machine learning for decision support. The company operates through two segments, Cyber & Engineering and Analytics. The Cyber & Engineering segment offers high-end technology and management consulting services. It focuses in the areas of cloud engineering and enterprise IT, cybersecurity, computer network operations and wireless, systems engineering, and strategy and program planning. The Analytics segment provides high-end technology and consulting services. This segment focuses on the areas of big data computing and analytical solutions, including predictive and prescriptive analytics solutions. Its solutions assist customers in aggregating, interpreting, and synthesizing data to enable real-time decision-making capabilities. The company is headquartered in Columbia, Maryland."
